gyro_only_with_bias_x (deg/s),gyro_only_with_bias_y (deg/s),gyro_only_with_bias_z (deg/s)
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
