accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.794839130570458963e+00
